"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
M29,Kilogramo por kilogramo,kg/kg,KILOGRAMO POR KILOGRAMO
M30,voltio-amperio segundo recíprocidad,    1/(VÀAÀs),VOLTIO-AMPERIO SEGUNDO RECIPROCIDAD
M31,Kilogramo por kilómetro,kg/km,KILOGRAMO POR KILOMETRO
M32,Segundos pascal por litro,     PaÀs/l,SEGUNDOS PASCAL POR LITRO
M33,MiliMol por litro,     mmol/l,MILIMOL POR LITRO
M34,Newton metro por metro cuadrado,     NÀm/m?,NEWTON METRO POR METRO CUADRADO
M35,Milivoltio - amperio,mVÀA,MILIVOLTIO - AMPERIO
M36,Mes de 30 días,  mo (30 days),MES DE 30 DIAS
M37,Actual 360,  y (360 days),ACTUAL 360
M38,Kilómetro por segundo cuadrado,km/s?,KILOMETRO POR SEGUNDO CUADRADO
M39,Centímetro por segundo cuadrado,cm/s?,CENTIMETRO POR SEGUNDO CUADRADO
M4,Valor monetario,,VALOR MONETARIO
M40,Yarda por segundo cuadrado,yd/s?,YARDA POR SEGUNDO CUADRADO
M41,Milímetro por segundo cuadrado,mm/s?,MILIMETRO POR SEGUNDO CUADRADO
M42,Milla (milla estatal)  por segundo cuadrado,mi/s?,MILLA (MILLA ESTATAL)  POR SEGUNDO CUADRADO
M43,Mil (unidad de Medida Militar), mil,MIL (UNIDAD DE MEDIDA MILITAR)
M44,Revolución, rev,REVOLUCION
M45,Grado por segundo cuadrado,?/s?,GRADO POR SEGUNDO CUADRADO
M46,Revolución por minuto,r/min,REVOLUCION POR MINUTO
M47,Circular Mil,cmil,CIRCULAR MIL
M48,Milla cuadrada (basado en u.s survey foot), mi? (US survey),MILLA CUADRADA (BASADO EN U.S SURVEY FOOT)
M49,Cadena, ch (US survey),CADENA
M5,Microcurie, ÁCi,MICROCURIE
M50,Estadio, fur,ESTADIO
M51,Pie (Topografía UEA), ft (US survey),PIE (TOPOGRAFIA UEA)
M52,Milla, mi (US survey),MILLA
M53,Metro por pascal,m/Pa,METRO POR PASCAL
M55,Metro por radián,m/rad,METRO POR RADIAN
M56,Shake,shake,SHAKE
M57,Milla por minuto,     mi/min,MILLA POR MINUTO
M58,Milla por segundo,mi/s,MILLA POR SEGUNDO
M59,Metro por segundo pascal,    (m/s)/Pa,METRO POR SEGUNDO PASCAL
M60,Metro por hora, m/h,METRO POR HORA
M61,Pulgada por año,in/y,PULGADA POR ANO
M62,Kilómetro por segundo,km/s,KILOMETRO POR SEGUNDO
M63,Pulgada por minuto,     in/min,PULGADA POR MINUTO
M64,Yarda por segundo,yd/s,YARDA POR SEGUNDO
M65,Yarda por minuto,     yd/min,YARDA POR MINUTO
M66,Yarda por hora,yd/h,YARDA POR HORA
M67,Acre-pie,acre-ft (US survey),ACRE-PIE
M68,Cordón,cord,CORDON
M69,Milla cúbica (reinounido), mi?,MILLA CUBICA (REINOUNIDO)
M7,Micro-pulgada, Áin,MICRO-PULGADA
M70,Unidad tradicional de capacidad de carga, RT,UNIDAD TRADICIONAL DE CAPACIDAD DE CARGA
M71,Metro cúbico por pascal (joules),m?/Pa,METRO CUBICO POR PASCAL (JOULES)
M72,Bel,  B,BEL
M73,Kilogramo por metro cúbico pascal,   (kg/m?)/Pa,KILOGRAMO POR METRO CUBICO PASCAL
M74,Kilogramo por pascal,kg/Pa,KILOGRAMO POR PASCAL
M75,Kilolibra fuerza, kip,KILOLIBRA FUERZA
M76,Poundal, pdl,POUNDAL
M77,Kilogramo metro por segundo cuadrado,     kgÀm/s?,KILOGRAMO METRO POR SEGUNDO CUADRADO
M78,Pond,  p,POND
M79,Pie cuadrado por hora,ft?/h,PIE CUADRADO POR HORA
M80,Stokes por pascal,St/Pa,STOKES POR PASCAL
M81,Centímetro cuadrado por segundo,cm?/s,CENTIMETRO CUADRADO POR SEGUNDO
M82,Metro cuadrado por segundo pascal,    (m?/s)/Pa,METRO CUADRADO POR SEGUNDO PASCAL
M83,Denier, den,DENIER
M84,Libra por yarda,lb/yd,LIBRA POR YARDA
M85,"Tonelada, ensayo",,"TONELADA, ENSAYO"
M86,Libra Alemana, pfd,LIBRA ALEMANA
M87,Kilogramo por segundo pascal,    (kg/s)/Pa,KILOGRAMO POR SEGUNDO PASCAL
M88,Tonelada por mes,t/mo,TONELADA POR MES
M89,Tonelada por año, t/y,TONELADA POR ANO
M9,Millones de btu por 1000 pies cúbicos,    MBTU/kft?,MILLONES DE BTU POR 1000 PIES CUBICOS
M90,Kilolibra por hora,klb/h,KILOLIBRA POR HORA
M91,Libra por libra,lb/lb,LIBRA POR LIBRA
M92,Libra fuerza pie,     lbfÀft,LIBRA FUERZA PIE
M93,Newton metro por radián,     NÀm/rad,NEWTON METRO POR RADIAN
M94,Kilogramo metro,kgÀm,KILOGRAMO METRO
M95,Poundal pie,     pdlÀft,POUNDAL PIE
M96,Poundal pulgada,     pdlÀin,POUNDAL PULGADA
M97,Dina metro,dynÀm,DINA METRO
M98,Kilogramo centímetro por segundo,    kgÀ(cm/s),KILOGRAMO CENTIMETRO POR SEGUNDO
M99,Gramo centímetro por segundo,    gÀ(cm/s),GRAMO CENTIMETRO POR SEGUNDO
MA,Máquina por unidad,,MAQUINA POR UNIDAD
MAH,Megavoltio amperio reactivo hora,     MvarÀh,MEGAVOLTIO AMPERIO REACTIVO HORA
MAL,Megalitro, Ml,MEGALITRO
MAM,Megametro, Mm,MEGAMETRO
MAR,Megavar,kvar,MEGAVAR
MAW,Megawatt, MW,MEGAWATT
MBE,Mil equivalente de ladrillo estándar,,MIL EQUIVALENTE DE LADRILLO ESTANDAR
MBF,Mil pies de tabla,,MIL PIES DE TABLA
MBR,Milibar,mbar,MILIBAR
MC,Microgramo, Ág,MICROGRAMO
MCU,Milicurie, mCi,MILICURIE
MD,Tonelada métrica seca al aire,,TONELADA METRICA SECA AL AIRE
MF,Miligramo por pie cuadrado por lado,,MILIGRAMO POR PIE CUADRADO POR LADO
MGM,Miligramo, mg,MILIGRAMO
MHZ,Megahertz, MHz,MEGAHERTZ
MIK,Milla cuadrada (milla estatal), mi?,MILLA CUADRADA (MILLA ESTATAL)
MIL,Mil,,MIL
MIN,Minuto [unidad de tiempo], min,MINUTO [UNIDAD DE TIEMPO]
MIO,Millon,,MILLON
MIU,Unidad internacional de millon,,UNIDAD INTERNACIONAL DE MILLON
MK,Miligramo por pulgada cuadrada,    Mg / in?,MILIGRAMO POR PULGADA CUADRADA
MLD,Mil millones,,MIL MILLONES
MLT,Mililitro, ml,MILILITRO
MMK,Milímetro cuadrado, mm?,MILIMETRO CUADRADO
MMQ,Milímetro cúbico, mm?,MILIMETRO CUBICO
MMT,Milímetro, mm,MILIMETRO
MND,"Kilogramo, peso seco",,"KILOGRAMO, PESO SECO"
MON,Mes, mo,MES
MPA,Megapascal, MPa,MEGAPASCAL
MQ,Mil metros,,MIL METROS
MQH,Metro cúbico por hora,m?/h,METRO CUBICO POR HORA
MQS,Metro cúbico por segundo,m?/s,METRO CUBICO POR SEGUNDO
MSK,Metro por segundo cuadrado,m/s?,METRO POR SEGUNDO CUADRADO
MTK,Metro cuadrado, m?,METRO CUADRADO
MTQ,Metro cúbico, m?,METRO CUBICO
MTR,Metro,  m,METRO
MTS,Metro por segundo, m/s,METRO POR SEGUNDO
MV,Número de mults,,NUMERO DE MULTS
MVA,Megavoltio - amperio,MVÀA,MEGAVOLTIO - AMPERIO
MWH,Megawatt hora,MWÀh,MEGAWATT HORA
N1,Pluma calórica,,PLUMA CALORICA
N10,Libra pie por segundo,    lbÀ(ft/s),LIBRA PIE POR SEGUNDO
N11,Libra pulgada por segundo,    lbÀ(in/s),LIBRA PULGADA POR SEGUNDO
N12,Pferdestaerke, PS,PFERDESTAERKE
N13,Centímetro de mercurio (0?),   cmHg (0 ?C),CENTIMETRO DE MERCURIO (0?)
N14,Centímetro de agua (4?),  cmH?O (4 ?C),CENTIMETRO DE AGUA (4?)
N15,Pie de agua (39.2 ?f)," ftH?O (39,2 ?F)",PIE DE AGUA (39.2 ?F)
N16,Pulgada de mercurio (32 ?f),  inHG (32 ?F),PULGADA DE MERCURIO (32 ?F)
N17,Pulgada de mercurio (60 ?f),  inHg (60 ?F),PULGADA DE MERCURIO (60 ?F)
N18,Pulgada de agua (39.2 ?f)," inH?O (39,2 ?F)",PULGADA DE AGUA (39.2 ?F)
N19,Pulgada de agua (60 ?f),  inH?O (60 ?F),PULGADA DE AGUA (60 ?F)
N2,número de líneas,,NUMERO DE LINEAS
N20,Kip por pulgada cuadrada, ksi,KIP POR PULGADA CUADRADA
N21,Poundal por pie cuadrado,     pdl/ft?,POUNDAL POR PIE CUADRADO
N22,Onza (avoirdupois) por pulgada cuadrada,     oz/in?,ONZA (AVOIRDUPOIS) POR PULGADA CUADRADA
N23,Metro convencional de agua,mH?O,METRO CONVENCIONAL DE AGUA
N24,Gramo por milímetro cuadrado,g/mm?,GRAMO POR MILIMETRO CUADRADO
N25,Libra por yarda cuadrada,     lb/yd?,LIBRA POR YARDA CUADRADA
N26,Poundal por pulgada cuadrada,     pdl/in?,POUNDAL POR PULGADA CUADRADA
N27,Pie a la cuarta potencia, ft?,PIE A LA CUARTA POTENCIA
N28,Decímetro cúbico por kilogramo,     dm?/kg,DECIMETRO CUBICO POR KILOGRAMO
N29,Pie cúbico por libra,     ft?/lb,PIE CUBICO POR LIBRA
N30,Impresión de punto,,IMPRESION DE PUNTO
N30,Pulgada cúbica por libra,     in?/lb,PULGADA CUBICA POR LIBRA
N31,Kilonewton por metro,kN/m,KILONEWTON POR METRO
N32,Poundal por pulgada,     pdl/in,POUNDAL POR PULGADA
N33,Libra-fuerza por yarda,     lbf/yd,LIBRA-FUERZA POR YARDA
N34,Poundal segundo por pie cuadrado,   (pdl/ft?)Às,POUNDAL SEGUNDO POR PIE CUADRADO
N35,Poise por pascal,P/Pa,POISE POR PASCAL
N36,Newton segundo por metro cuadrado,    (N/m?)Às,NEWTON SEGUNDO POR METRO CUADRADO
N37,Kilogramo por metro segundo,    kg/(mÀs),KILOGRAMO POR METRO SEGUNDO
N38,Kilogramo por metro minuto,   kg/(mÀmin),KILOGRAMO POR METRO MINUTO
N39,Kilogramo por metro día,    kg/(mÀd),KILOGRAMO POR METRO DIA
N40,Kilogramo por metro hora,    kg/(mÀh),KILOGRAMO POR METRO HORA
N41,Gramo por centímetro segundo,    g/(cmÀs),GRAMO POR CENTIMETRO SEGUNDO
N42,Poundal segundo por pulgada cuadrada,   (pdl/in?)Às,POUNDAL SEGUNDO POR PULGADA CUADRADA
N43,Libra por pie minuto,   lb/(ftÀmin),LIBRA POR PIE MINUTO
N44,Libra por pie día,    lb/(ftÀd),LIBRA POR PIE DIA
N45,Metro cúbico por segundo pascal,    (m?/s)/Pa,METRO CUBICO POR SEGUNDO PASCAL
N46,Pie poundal,     ftÀpdl,PIE POUNDAL
N47,Pulgada poundal,     inÀpdl,PULGADA POUNDAL
N48,Watt por centímetro cuadrado,W/cm?,WATT POR CENTIMETRO CUADRADO
N49,Watt por pulgada cuadrada,W/in?,WATT POR PULGADA CUADRADA
N50,Unidad térmica británica (tabla internacional) por pie cuadrado hora.,  BtuIT/(ft?Àh),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR PIE CUADRADO HORA.
N51,Unidad térmica británica (termoquímica) por pie cuadrado hora.,  Btuth/(ft?Àh),UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR PIE CUADRADO HORA.
N52,Unidad térmica británica (termoquímico) por pie cuadrado minuto.,Btuth/(ft?Àmin),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR PIE CUADRADO MINUTO.
N53,Unidad térmica británica (tabla internacional) por pie cuadrado segundo.,  BtuIT/(ft?Às),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR PIE CUADRADO SEGUNDO.
N54,Unidad térmica británica (termoquímica) por pie cuadrado segundo.,  Btuth/(ft?Às),UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR PIE CUADRADO SEGUNDO.
N55,Unidad térmica británica (tabla internacional) por pulgada cuadrada segundo.,  BtuIT/(in?Às),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR PULGADA CUADRADA SEGUNDO.
N56,Caloría (termoquímica) por centímetro cuadrado minuto, calth/(cm?Àmin),CALORIA (TERMOQUIMICA) POR CENTIMETRO CUADRADO MINUTO
N57,Caloría (termoquímica) por centímetro cuadrado segundo,  calth/(cm?Às),CALORIA (TERMOQUIMICA) POR CENTIMETRO CUADRADO SEGUNDO
N58,Unidad térmica británica (tabla internacional) por pie cúbico,    BtuIT/ft?,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR PIE CUBICO
N59,Unidad térmica británica (termoquímica) por pie cúbico,    Btuth/ft?,UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR PIE CUBICO
N60,Unidad térmica británica (tabla internacional) por grado fahrenheit,    BtuIT/?F,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR GRADO FAHRENHEIT
N61,Unidad térmica británica (termoquímico) por grado fahrenheit,    Btuth/?F,UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR GRADO FAHRENHEIT
N62,Unidad térmica británica (tabla internacional) por grado rankine,    BtuIT/?R,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR GRADO RANKINE
N63,Unidad térmica británica (termoquímico) por grado rankine,    Btuth/?R,UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR GRADO RANKINE
N64,Unidad térmica británica (termoquímico) por libra grado rankine,  (Btuth/?R)/lb,UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR LIBRA GRADO RANKINE
N65,Kilocaloría (tabla internacional) por gramo kelvin,  (kcalIT/K)/g,KILOCALORIA (TABLA INTERNACIONAL) POR GRAMO KELVIN
N66,Unidad térmica británica (39 ?f),  Btu (39 ?F),UNIDAD TERMICA BRITANICA (39 ?F)
N67,Unidad térmica británica (59 ?f),   Btu (59 ?F),UNIDAD TERMICA BRITANICA (59 ?F)
N68,Unidad térmica británica (60 ?f),  Btu (60 ?F),UNIDAD TERMICA BRITANICA (60 ?F)
N69,Caloría (20 ?c),cal??,CALORIA (20 ?C)
N70,Quad,quad,QUAD
N71,Termia (energía comercial),    thm (EC),TERMIA (ENERGIA COMERCIAL)
N72,Termia (UEA),    thm (US),TERMIA (UEA)
N73,Unidad térmica británica (termoquímica) por libra,    Btuth/lb,UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR LIBRA
N74,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado fahrenheit.,BtuIT/(hÀft?À?F),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR HORA PIE CUADRADO GRADO FAHRENHEIT.
N75,Unidad térmica británica (termoquímico) por hora pie cuadrado grado farenheit.,Btuth/(hÀft?À?F),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR HORA PIE CUADRADO GRADO FARENHEIT.
N76,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado fahrenheit.,BtuIT/(sÀft?À?F),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR SEGUNDO PIE CUADRADO GRADO FAHRENHEIT.
N77,Unidad térmica británica (termoquímico) por segundo pie cuadrado grado fahrenheit.,Btuth/(s/ft2/°F),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR SEGUNDO PIE CUADRADO GRADO FAHRENHEIT.
N78,Kilowatt por metro cuadrado kelvin,    kW/(m?ÀK),KILOWATT POR METRO CUADRADO KELVIN
N79,Kelvin por pascal,K/Pa,KELVIN POR PASCAL
N80,Watt por metro grado celsius,    W/(mÀ?C),WATT POR METRO GRADO CELSIUS
N81,Kilowatt por metro kelvin,    kW/(mÀK),KILOWATT POR METRO KELVIN
N82,Kilowatt por metro grado celsius,    kW/(mÀ?C),KILOWATT POR METRO GRADO CELSIUS
N83,Metro por grado celsius metro,m/(°C/m),METRO POR GRADO CELSIUS METRO
N84,Grado fahrenheit hora por unidad térmica británica (tabla internacional),  ?F/(BtuIT/h),GRADO FAHRENHEIT HORA POR UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL)
N85,Grado fahrenheit hora por unidad térmica británica (termoquímico),  ?F/(Btuth/h),GRADO FAHRENHEIT HORA POR UNIDAD TERMICA BRITANICA (TERMOQUIMICO)
N86,Grado fahrenheit segundo por unidad térmica británica (tabla internacional),  ?F/(BtuIT/s),GRADO FAHRENHEIT SEGUNDO POR UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL)
N87,Grago fahrenheit segundo por unidad térmica británica (termoquímico),  ?F/(Btuth/s),GRAGO FAHRENHEIT SEGUNDO POR UNIDAD TERMICA BRITANICA (TERMOQUIMICO)
N88,Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional) pulgada,?FÀhÀft?/(BtuITÀin),GRADO FAHRENHEIT HORA PIE CUADRADO POR UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) PULGADA
N89,Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico) pulgada.,?FÀhÀft?/(BtuthÀin),GRADO FAHRENHEIT HORA PIE CUADRADO POR UNIDAD TERMICA BRITANICA (TERMOQUIMICO) PULGADA.
N90,Kilofaradio, kF,KILOFARADIO
N91,Joule recíproco, 1/J,JOULE RECIPROCO
N92,Picosiemens, pS,PICOSIEMENS
N93,Amperio por pascal,A/Pa,AMPERIO POR PASCAL
N94,Franklin, Fr,FRANKLIN
N95,Amperio minuto,AÀmin,AMPERIO MINUTO
N96,Biot, Bi,BIOT
N97,Gilbert, Gi,GILBERT
N98,Voltio por pascal,V/Pa,VOLTIO POR PASCAL
N99,Picovoltio, pV,PICOVOLTIO
NA,Miligramo por kilogramo,mg/kg,MILIGRAMO POR KILOGRAMO
NAR,Número de artículos,,NUMERO DE ARTICULOS
NB,barcaza,,BARCAZA
NBB,Número de bobinas,,NUMERO DE BOBINAS
NC,Carro,,CARRO
NCL,Número de celulas,,NUMERO DE CELULAS
ND,Barril neto,,BARRIL NETO
NE,Litro neto,,LITRO NETO
NEW,Newton,  N,NEWTON
NF,Mensaje,,MENSAJE
NG,Galón neto (us),,GALON NETO (US)
NH,Hora del mensaje,,HORA DEL MENSAJE
NI,Galón imperial neto,,GALON IMPERIAL NETO
NIL,Nil, (),NIL
NIU,Número de unidades internacionales,,NUMERO DE UNIDADES INTERNACIONALES
NJ,Número de pantallas,,NUMERO DE PANTALLAS
NL,Carga,,CARGA
NM3,Metro cúbico normalizado,,METRO CUBICO NORMALIZADO
NMI,Milla náutica,     n mile,MILLA NAUTICA
NMP,Número de paquetes,,NUMERO DE PAQUETES
NN,tren,,TREN
NPR,Número de parejas,,NUMERO DE PAREJAS
NPT,Número de partes,,NUMERO DE PARTES
NQ,Mho,,MHO
NR,Micromho,,MICROMHO
NT,Tonelada neta,,TONELADA NETA
NTT,Tonelada de registro neto,,TONELADA DE REGISTRO NETO
NV,vehículo,,VEHICULO
NV,Libra por tonelada métrica al aire seco,,LIBRA POR TONELADA METRICA AL AIRE SECO
NX,Parte por mil,  ë,PARTE POR MIL
OA,Panel,,PANEL
ODE,Equvalente de agotamiento del ozona,,EQUVALENTE DE AGOTAMIENTO DEL OZONA
Ohm,Ohm,  ?,OHM
ON,Onza por yarda cuadrada,     oz/yd?,ONZA POR YARDA CUADRADA
ONZ,Onza (avoirdupois), oz,ONZA (AVOIRDUPOIS)
OP,Dos paquetes,,DOS PAQUETES
OPM,Oscilaciones por minuto,o/min,OSCILACIONES POR MINUTO
OT,Hora extra,,HORA EXTRA
OZ,Onza AV,,ONZA AV
OZA,Onza líquida (estados unidos),   fl oz (US),ONZA LIQUIDA (ESTADOS UNIDOS)
OZI,Onza líquida (UK),   fl oz (UK),ONZA LIQUIDA (UK)
P0,Página electrónica,,PAGINA ELECTRONICA
P1,Tanto por ciento,    % or pct,TANTO POR CIENTO
P10,Culombio por metro, C/m,CULOMBIO POR METRO
P11,Kiloweber, kWb,KILOWEBER
P12,Gamma,  ?,GAMMA
P13,Kilotesla, kT,KILOTESLA
P14,Joule por segundo, J/s,JOULE POR SEGUNDO
P15,Joule por minuto,J/min,JOULE POR MINUTO
P16,Joule por hora, J/h,JOULE POR HORA
P17,Joule por día, J/d,JOULE POR DIA
P18,Kilojoule por segundo,kJ/s,KILOJOULE POR SEGUNDO
P19,Kilojoule por minuto,     kJ/min,KILOJOULE POR MINUTO
P2,Libra por pie,lb/ft,LIBRA POR PIE
P20,Kilojoule por hora,kJ/h,KILOJOULE POR HORA
P21,Kilojoule por dia,kJ/d,KILOJOULE POR DIA
P22,NanoOhm, n?,NANOOHM
P23,Ohm circular-mil por pie,   ?Àcmil/ft,OHM CIRCULAR-MIL POR PIE
P24,Kilohenry, kH,KILOHENRY
P25,Lumen por pie cuadrado,     lm/ft?,LUMEN POR PIE CUADRADO
P26,Foto, ph,FOTO
P27,Vela (medida), ftc,VELA (MEDIDA)
P28,Candela por pulgada cuadrada,     cd/in?,CANDELA POR PULGADA CUADRADA
P29,Footlambert, ftL,FOOTLAMBERT
P3,Tres paquetes,,TRES PAQUETES
P30,Lambert, Lb,LAMBERT
P31,Stilb, sb,STILB
P32,Candela por pie cuadrado,     cd/ft?,CANDELA POR PIE CUADRADO
P33,Kilocandela, kcd,KILOCANDELA
P34,Milicandela, mcd,MILICANDELA
P35,Hefner-kerze, HK,HEFNER-KERZE
P36,Candela internacional, IK,CANDELA INTERNACIONAL
P37,Unidad térmica británica (tabla internacional) por pie cuadrado,    BtuIT/ft?,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR PIE CUADRADO
P38,Unidad térmica británica (termoquímica) por pie cuadrado,    Btuth/ft?,UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR PIE CUADRADO
P39,Caloría (termoquímica) por centímetro cuadrado,    calth/cm?,CALORIA (TERMOQUIMICA) POR CENTIMETRO CUADRADO
P4,paquete de cuatro,,PAQUETE DE CUATRO
P40,Langley, Ly,LANGLEY
P41,Década (logaritmica), dec,DECADA (LOGARITMICA)
P42,Pascal por segundo cuadrado,Pa?Às,PASCAL POR SEGUNDO CUADRADO
P43,Bel por metro, B/m,BEL POR METRO
P44,Libra Mol,lbmol,LIBRA MOL
P45,Libra de Mol por segundo,     lbmol/s,LIBRA DE MOL POR SEGUNDO
P46,Libra Mol por minuto,     lbmol/h,LIBRA MOL POR MINUTO
P47,KiloMol por kilogramo,     kmol/kg,KILOMOL POR KILOGRAMO
P48,Libra de Mol por libra,    lbmol/lb,LIBRA DE MOL POR LIBRA
P49,Newton metro cuadrado por amperio,     NÀm?/A,NEWTON METRO CUADRADO POR AMPERIO
P5,Paquete de cinco,,PAQUETE DE CINCO
P50,Metro weber,WbÀm,METRO WEBER
P51,Mol por kilogramo pascal,   (mol/kg)/Pa,MOL POR KILOGRAMO PASCAL
P52,Mol por metro cúbico pascal,   (mol/m?)/Pa,MOL POR METRO CUBICO PASCAL
P53,Unit por segundo,   unit pole,UNIT POR SEGUNDO
P54,MiliGray por segundo,mGy/s,MILIGRAY POR SEGUNDO
P55,MicroGray por segundo,ÁGy/s,MICROGRAY POR SEGUNDO
P56,NanoGray por segundo,nGy/s,NANOGRAY POR SEGUNDO
P57,Gray por minuto,     Gy/min,GRAY POR MINUTO
P58,MiliGray por minuto,     mGy/min,MILIGRAY POR MINUTO
P59,Microgray por minuto,     ÁGy/min,MICROGRAY POR MINUTO
P6,paquete de seis,,PAQUETE DE SEIS
P60,Nanogray por minuto,     nGy/min,NANOGRAY POR MINUTO
P61,Gray por hora,Gy/h,GRAY POR HORA
P62,MiliGray por hora,mGy/h,MILIGRAY POR HORA
P63,Micro gray por hora,ÁGy/h,MICRO GRAY POR HORA
P64,Nanogray por hora,nGy/h,NANOGRAY POR HORA
P65,Sievert por segundo,Sv/s,SIEVERT POR SEGUNDO
P66,MilliSievert por segundo,mSv/s,MILLISIEVERT POR SEGUNDO
P67,MicroSievert por segundo,ÁSv/s,MICROSIEVERT POR SEGUNDO
P68,NanoSievert por segundo,nSv/s,NANOSIEVERT POR SEGUNDO
P69,Rem por segundo,rem/s,REM POR SEGUNDO
P7,Paquete de siete,,PAQUETE DE SIETE
P70,Sievert por hora,Sv/h,SIEVERT POR HORA
P71,MilliSievert por hora,mSv/h,MILLISIEVERT POR HORA
P72,Micro Sievert por hora,ÁSv/h,MICRO SIEVERT POR HORA
P73,NanoSievert por hora,nSv/h,NANOSIEVERT POR HORA
P74,Sievert por minuto,     Sv/min,SIEVERT POR MINUTO
P75,MilliSievert por minuto,     mSv/min,MILLISIEVERT POR MINUTO
P76,MicroSievert por minuto,     ÁSv/min,MICROSIEVERT POR MINUTO
P77,NanoSievert pominut,     nSv/min,NANOSIEVERT POMINUT
P78,Reciprocidad por segundo,1/in?,RECIPROCIDAD POR SEGUNDO
P79,Pascal metro cuadrado por kilogramo,   Pa/(kg/m?),PASCAL METRO CUADRADO POR KILOGRAMO
P8,Paquete de ocho,,PAQUETE DE OCHO
P80,Milipascal por metro.,mPa/m,MILIPASCAL POR METRO.
P81,Kilopascal por metro.,kPa/m,KILOPASCAL POR METRO.
P82,Hectopascal por metro.,hPa/m,HECTOPASCAL POR METRO.
P83,Admosfera estandar por metro.,Atm/m,ADMOSFERA ESTANDAR POR METRO.
P84,Admosfera tecnica por metro.,at/m,ADMOSFERA TECNICA POR METRO.
P85,Torr por metro.,     Torr/m,TORR POR METRO.
P86,Psi por pulgada,     psi/in,PSI POR PULGADA
P87,Metro cúbico por segundo de metro cuadrado,    (m?/s)/m?,METRO CUBICO POR SEGUNDO DE METRO CUADRADO
P88,Rhe, rhe,RHE
P89,Libra por metro cúbico de pulgada,    lbfÀft/in,LIBRA POR METRO CUBICO DE PULGADA
P9,Nueve paquetes,,NUEVE PAQUETES
P90,Libra-fuerza por pulgada cuadrada,    lbfÀin/in,LIBRA-FUERZA POR PULGADA CUADRADA
P91,Permanente (0?c),  perm (0 ?C),PERMANENTE (0?C)
P92,Permanente (23?c),  perm (23 ?C),PERMANENTE (23?C)
P93,Byte por segundo,     byte/s,BYTE POR SEGUNDO
P94,Kilobyte por segundo,     kbyte/s,KILOBYTE POR SEGUNDO
P95,Megabite por segundo,     Mbyte/s,MEGABITE POR SEGUNDO
P96,Recíproco de la unidad si deriva voltio, 1/V,RECIPROCO DE LA UNIDAD SI DERIVA VOLTIO
P97,Reciprocidad de Radian,1/rad,RECIPROCIDAD DE RADIAN
P98,Pascal a la suma de potencia de los números estequimetricos,Pa??B,PASCAL A LA SUMA DE POTENCIA DE LOS NUMEROS ESTEQUIMETRICOS
P99,Mols por metro cúbico a la suma de potencia de los números estequimetricos,   (mol/m?)??B,MOLS POR METRO CUBICO A LA SUMA DE POTENCIA DE LOS NUMEROS ESTEQUIMETRICOS
PAL,Pascal, Pa,PASCAL
PB,Par de la pulgada,,PAR DE LA PULGADA
PD,Almohadilla,,ALMOHADILLA
PE,Libra equivalente,,LIBRA EQUIVALENTE
PFL,Litro de prueba,,LITRO DE PRUEBA
PGL,Galón de prueba,,GALON DE PRUEBA
PI,Tono,,TONO
PLA,Grado de platón, ?P,GRADO DE PLATON
PM,Porcentaje de libra,,PORCENTAJE DE LIBRA
PO,Libra por pulgada,lb/in,LIBRA POR PULGADA
PQ,Página por pulgada, ppi,PAGINA POR PULGADA
PR,Par,,PAR
PS,Libra fuerza por pulgada cuadrada,     lbf/in?,LIBRA FUERZA POR PULGADA CUADRADA
PT,Pinta (US),     Pt (US),PINTA (US)
PTD,Pinta seca (estados unidos),   dry pt (US),PINTA SECA (ESTADOS UNIDOS)
PTI,Pint (uk),     pt (UK),PINT (UK)
